UnixTime	Latitude	Longitude	Altitude
1480684376	-77.854210	167.221878	243.009995
1480684476	-77.848648	167.231110	757.580017
1480684576	-77.840309	167.239243	1263.489990
1480684676	-77.830261	167.237854	1756.790039
1480684776	-77.817818	167.227463	2253.570068
1480684876	-77.807114	167.220886	2747.149902
1480684976	-77.799538	167.233566	3199.560059
1480685076	-77.791298	167.242569	3510.030029
1480685176	-77.785141	167.258102	3830.489990
1480685276	-77.778740	167.279541	4214.770020
1480685376	-77.773163	167.307877	4553.649902
1480685476	-77.767548	167.351608	4803.799805
1480685576	-77.762253	167.404800	5067.080078
1480685676	-77.757584	167.462601	5380.680176
1480685776	-77.753029	167.525909	5706.740234
1480685876	-77.750008	167.594406	6031.540039
1480685976	-77.747993	167.667252	6390.379883
1480686076	-77.746300	167.743652	6773.709961
1480686176	-77.745155	167.821960	7136.759766
1480686276	-77.743347	167.904449	7487.589844
1480686376	-77.742317	167.985580	7835.029785
1480686476	-77.743080	168.065506	8187.569824
1480686576	-77.743263	168.140228	8487.120117
1480686676	-77.742485	168.203476	8711.570312
1480686776	-77.742905	168.264343	8729.620117
1480686876	-77.743202	168.324417	8905.209961
1480686976	-77.743118	168.377884	9171.959961
1480687076	-77.743179	168.426773	9173.879883
1480687176	-77.743813	168.473251	9359.129883
1480687276	-77.745949	168.515060	9579.700195
1480687376	-77.747787	168.552963	9738.339844
1480687476	-77.749397	168.594971	9937.790039
1480687584	-77.750397	168.639465	10083.219727
1480687684	-77.751328	168.680817	10115.940430
1480687784	-77.752144	168.721619	10293.799805
1480687884	-77.753777	168.756287	10566.820312
1480687984	-77.755280	168.789032	10752.669922
1480688084	-77.756783	168.819946	10867.129883
1480688184	-77.757561	168.847321	11080.959961
1480688284	-77.759262	168.868713	11341.339844
1480688384	-77.762070	168.891846	11536.500000
1480688484	-77.765053	168.918625	11596.049805
1480688584	-77.767914	168.945404	11720.849609
1480688684	-77.769279	168.969696	11963.209961
1480688784	-77.770927	168.996994	12222.719727
1480688884	-77.774521	169.027603	12385.209961
1480688984	-77.778763	169.056030	12544.669922
1480689084	-77.782875	169.080109	12736.639648
1480689184	-77.786957	169.097672	12961.379883
1480689284	-77.791977	169.126251	13144.929688
1480689384	-77.797440	169.154221	13271.309570
1480689484	-77.805634	169.181137	13422.820312
1480689584	-77.812996	169.211685	13579.240234
1480689684	-77.818298	169.238525	13735.570312
1480689784	-77.822784	169.254532	13980.480469
1480689884	-77.827400	169.268539	14201.480469
1480689984	-77.833725	169.285553	14443.910156
1480690084	-77.840492	169.307205	14596.450195
1480690184	-77.846916	169.329391	14771.259766
1480690284	-77.850967	169.341293	15069.349609
1480690384	-77.855682	169.349258	15341.360352
1480690484	-77.861664	169.358704	15517.549805
1480690584	-77.867508	169.374222	15703.160156
1480690684	-77.872581	169.389465	15997.389648
1480690784	-77.878128	169.402039	16157.190430
1480690884	-77.884415	169.415588	16339.389648
1480690984	-77.890465	169.441223	16613.000000
1480691084	-77.895973	169.459427	16836.769531
1480691184	-77.900833	169.482925	16980.699219
1480691284	-77.903564	169.496567	17200.080078
1480691384	-77.908188	169.508087	17429.869141
1480691484	-77.910736	169.527679	17667.560547
1480691584	-77.913498	169.541382	17906.269531
1480691684	-77.917015	169.553482	18105.880859
1480691784	-77.921257	169.567902	18298.210938
1480691884	-77.925018	169.572922	18521.230469
1480691984	-77.929565	169.582809	18753.660156
1480692084	-77.933022	169.601044	19023.570312
1480692184	-77.934883	169.611862	19175.849609
1480692284	-77.938110	169.611908	19472.570312
1480692384	-77.940247	169.611115	19737.230469
1480692484	-77.941963	169.607834	19920.060547
1480692584	-77.945129	169.605591	20150.289062
1480692684	-77.949120	169.602783	20390.000000
1480692790	-77.951607	169.599442	20797.140625
1480692890	-77.957176	169.606216	21046.300781
1480692990	-77.961617	169.612518	21116.699219
1480693090	-77.964035	169.608932	21454.050781
1480693190	-77.968681	169.606155	21795.289062
1480693290	-77.971672	169.607056	22023.359375
1480693390	-77.976532	169.600494	22203.220703
1480693490	-77.979149	169.597549	22518.560547
1480693590	-77.982559	169.595078	22837.990234
